Date,WeekStart,TargetDate,ModelVersion,Ticker,Region,HorizonDays,ER_Pct,Notes,Adj_ER_Pct,EngineStatus,CalibApplied,CalibReason,LastError,RankSignal,score_0_100,confidence_tier,AdjERPct,Reliability,VolScale
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,WINE,RO,5,0.2404,weekly auto-forecast for next week,0.9564,OK,yes,ridge+calib+reliability+regime,,,47.9,MEDIUM,0.9564,0.479,0.243
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,EL,RO,5,0.7053,weekly auto-forecast for next week,2.5506,OK,yes,ridge+calib+reliability+regime,,,52.7,MEDIUM,2.5506,0.527,1.456
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,AG,RO,5,0.3135,weekly auto-forecast for next week,1.2326,OK,yes,ridge+calib+reliability+regime,,,48.4,MEDIUM,1.2326,0.484,0.282
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,H2O,RO,5,0.7418,weekly auto-forecast for next week,2.2438,OK,yes,ridge+calib+reliability+regime,,,47.2,MEDIUM,2.2438,0.472,0.512
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,SNN,RO,5,1.3422,weekly auto-forecast for next week,3.8957,OK,yes,ridge+calib+reliability+regime,,,49.2,MEDIUM,3.8957,0.492,1.491
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,AQ,RO,5,0.3104,weekly auto-forecast for next week,1.2705,OK,yes,ridge+calib+reliability+regime,,,46.5,MEDIUM,1.2705,0.465,0.143
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,SNP,RO,5,0.4368,weekly auto-forecast for next week,1.5967,OK,yes,ridge+calib+reliability+regime,,,52.1,MEDIUM,1.5967,0.521,0.399
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,TRP,RO,5,0.351,weekly auto-forecast for next week,1.3842,OK,yes,ridge+calib+reliability+regime,,,48.3,MEDIUM,1.3842,0.483,0.742
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,AROBS,RO,5,0.4888,weekly auto-forecast for next week,2.0262,OK,yes,ridge+calib+reliability+regime,,,46.0,MEDIUM,2.0262,0.46,0.868
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,FP,RO,5,0.6022,weekly auto-forecast for next week,2.3626,OK,yes,ridge+calib+reliability+regime,,,48.5,MEDIUM,2.3626,0.485,0.774
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,TLV,RO,5,1.3329,weekly auto-forecast for next week,3.7993,OK,yes,ridge+calib+reliability+regime,,,50.1,MEDIUM,3.7993,0.501,1.549
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,ALR,RO,5,0.3979,weekly auto-forecast for next week,1.727,OK,yes,ridge+calib+reliability+regime,,,43.9,LOW,1.727,0.439,0.606
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,GSH,RO,5,0.1849,weekly auto-forecast for next week,0.7623,OK,yes,ridge+calib+reliability+regime,,,46.2,MEDIUM,0.7623,0.462,0.116
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,HAI,RO,5,0.4108,weekly auto-forecast for next week,1.7025,OK,yes,ridge+calib+reliability+regime,,,46.0,MEDIUM,1.7025,0.46,0.573
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,NRF,RO,5,0.5122,weekly auto-forecast for next week,2.003,OK,yes,ridge+calib+reliability+regime,,,48.7,MEDIUM,2.003,0.487,0.757
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,BATE.DE,EU,5,0.8174,weekly auto-forecast for next week,3.1178,OK,yes,ridge+calib+reliability+regime,,,49.9,MEDIUM,3.1178,0.499,0.998
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,LHA.DE,EU,5,0.6916,weekly auto-forecast for next week,2.8118,OK,yes,ridge+calib+reliability+regime,,,46.9,MEDIUM,2.8118,0.469,0.663
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,BABA,US,5,0.3362,weekly auto-forecast for next week,1.4032,OK,yes,ridge+calib+reliability+regime,,,45.6,MEDIUM,1.4032,0.456,0.626
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,JD,US,5,0.4891,weekly auto-forecast for next week,1.5348,OK,yes,ridge+calib+reliability+regime,,,45.5,MEDIUM,1.5348,0.455,0.597
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,NIO,US,5,0.0547,weekly auto-forecast for next week,0.1781,OK,yes,ridge+calib+reliability+regime,,,43.9,LOW,0.1781,0.439,0.741
2026-03-28,2026-03-30,2026-04-03,StockD_V10.7F+,PATH,US,5,0.2326,weekly auto-forecast for next week,1.0615,OK,yes,ridge+calib+reliability+regime,,,41.7,LOW,1.0615,0.417,0.496
