Date,WeekStart,TargetDate,ModelVersion,Ticker,Region,HorizonDays,ER_Pct,Notes,Adj_ER_Pct,EngineStatus,CalibApplied,CalibReason,LastError,RankSignal,score_0_100,confidence_tier,AdjERPct,Reliability,VolScale
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,WINE,RO,5,-0.4332,weekly auto-forecast,-0.9551,OK,yes,ridge+calib+reliability+regime,,,45.4,MEDIUM,-0.9551,0.454,0.848
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,EL,RO,5,2.1776,weekly auto-forecast,4.5,OK,yes,ridge+calib+reliability+regime,,,48.4,MEDIUM,4.5,0.484,0.226
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,AG,RO,5,1.6244,weekly auto-forecast,3.513,OK,yes,ridge+calib+reliability+regime,,,46.2,MEDIUM,3.513,0.462,1.671
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,H2O,RO,5,0.9522,weekly auto-forecast,2.6001,OK,yes,ridge+calib+reliability+regime,,,48.8,MEDIUM,2.6001,0.488,0.4
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,SNN,RO,5,0.4984,weekly auto-forecast,1.3864,OK,yes,ridge+calib+reliability+regime,,,47.9,MEDIUM,1.3864,0.479,0.802
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,AQ,RO,5,2.1316,weekly auto-forecast,4.5,OK,yes,ridge+calib+reliability+regime,,,47.4,MEDIUM,4.5,0.474,0.168
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,SNP,RO,5,2.3057,weekly auto-forecast,4.3356,OK,yes,ridge+calib+reliability+regime,,,53.2,MEDIUM,4.3356,0.532,0.39
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,TRP,RO,5,0.0851,weekly auto-forecast,0.2499,OK,yes,ridge+calib+reliability+regime,,,45.4,MEDIUM,0.2499,0.454,0.136
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,AROBS,RO,5,1.2335,weekly auto-forecast,2.6007,OK,yes,ridge+calib+reliability+regime,,,47.4,MEDIUM,2.6007,0.474,0.549
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,FP,RO,5,0.146,weekly auto-forecast,0.4112,OK,yes,ridge+calib+reliability+regime,,,47.3,MEDIUM,0.4112,0.473,0.218
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,TLV,RO,5,0.9385,weekly auto-forecast,2.5248,OK,yes,ridge+calib+reliability+regime,,,49.6,MEDIUM,2.5248,0.496,0.67
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,ALR,RO,5,0.2162,weekly auto-forecast,0.463,OK,yes,ridge+calib+reliability+regime,,,46.7,MEDIUM,0.463,0.467,0.043
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,GSH,RO,5,0.3316,weekly auto-forecast,1.4156,OK,yes,ridge+calib+reliability+regime,,,31.2,LOW,1.4156,0.312,0.015
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,HAI,RO,5,0.1568,weekly auto-forecast,0.4667,OK,yes,ridge+calib+reliability+regime,,,44.8,LOW,0.4667,0.448,0.282
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,NRF,RO,5,2.014,weekly auto-forecast,4.3527,OK,yes,ridge+calib+reliability+regime,,,46.3,MEDIUM,4.3527,0.463,0.24
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,BATE.DE,EU,5,1.4325,weekly auto-forecast,4.0,OK,yes,ridge+calib+reliability+regime,,,47.8,MEDIUM,4.0,0.477,0.395
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,LHA.DE,EU,5,1.4169,weekly auto-forecast,4.0,OK,yes,ridge+calib+reliability+regime,,,47.2,MEDIUM,4.0,0.472,0.989
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,BABA,US,5,0.5306,weekly auto-forecast,1.6658,OK,yes,ridge+calib+reliability+regime,,,42.5,LOW,1.6658,0.425,0.548
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,JD,US,5,1.815,weekly auto-forecast,5.0,OK,yes,ridge+calib+reliability+regime,,,48.4,MEDIUM,5.0,0.484,0.555
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,NIO,US,5,1.6444,weekly auto-forecast,5.0,OK,yes,ridge+calib+reliability+regime,,,43.9,LOW,5.0,0.439,1.386
2026-09-06,2026-09-07,2026-09-11,StockD_V11.0,PATH,US,5,1.5362,weekly auto-forecast,3.4244,OK,yes,ridge+calib+reliability+regime,,,44.9,LOW,3.4244,0.449,1.514
