Date,WeekStart,TargetDate,ModelVersion,Ticker,Region,HorizonDays,ER_Pct,Notes,Adj_ER_Pct,EngineStatus,CalibApplied,CalibReason,LastError,RankSignal,score_0_100,confidence_tier,AdjERPct,Reliability,VolScale
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,WINE,RO,5,1.2737,weekly auto-forecast,3.7,OK,yes,ridge+calib+reliability+regime,,,45.9,MEDIUM,3.7,0.459,2.963
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,EL,RO,5,2.151,weekly auto-forecast,4.5,OK,yes,ridge+calib+reliability+regime,,,47.8,MEDIUM,4.5,0.478,1.491
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,AG,RO,5,0.8107,weekly auto-forecast,2.3783,OK,yes,ridge+calib+reliability+regime,,,45.5,MEDIUM,2.3783,0.455,0.334
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,H2O,RO,5,1.605,weekly auto-forecast,4.3798,OK,yes,ridge+calib+reliability+regime,,,48.9,MEDIUM,4.3798,0.489,1.066
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,SNN,RO,5,0.8598,weekly auto-forecast,2.4277,OK,yes,ridge+calib+reliability+regime,,,47.2,MEDIUM,2.4277,0.472,1.156
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,AQ,RO,5,2.1568,weekly auto-forecast,4.5,OK,yes,ridge+calib+reliability+regime,,,47.9,MEDIUM,4.5,0.479,1.196
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,SNP,RO,5,2.4215,weekly auto-forecast,4.5,OK,yes,ridge+calib+reliability+regime,,,53.8,MEDIUM,4.5,0.538,1.528
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,TRP,RO,5,0.7902,weekly auto-forecast,2.3477,OK,yes,ridge+calib+reliability+regime,,,44.9,LOW,2.3477,0.449,0.857
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,AROBS,RO,5,1.8982,weekly auto-forecast,3.9545,OK,yes,ridge+calib+reliability+regime,,,48.0,MEDIUM,3.9545,0.48,0.874
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,FP,RO,5,0.8879,weekly auto-forecast,2.4819,OK,yes,ridge+calib+reliability+regime,,,47.7,MEDIUM,2.4819,0.477,1.019
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,TLV,RO,5,1.6416,weekly auto-forecast,4.4146,OK,yes,ridge+calib+reliability+regime,,,49.6,MEDIUM,4.4146,0.496,1.881
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,ALR,RO,5,0.2897,weekly auto-forecast,0.8265,OK,yes,ridge+calib+reliability+regime,,,46.7,MEDIUM,0.8265,0.467,0.667
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,GSH,RO,5,0.5833,weekly auto-forecast,2.507,OK,yes,ridge+calib+reliability+regime,,,31.0,LOW,2.507,0.31,0.005
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,HAI,RO,5,0.3758,weekly auto-forecast,1.1188,OK,yes,ridge+calib+reliability+regime,,,44.8,LOW,1.1188,0.448,0.249
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,NRF,RO,5,2.0862,weekly auto-forecast,4.5,OK,yes,ridge+calib+reliability+regime,,,46.4,MEDIUM,4.5,0.464,2.532
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,BATE.DE,EU,5,1.3929,weekly auto-forecast,4.0,OK,yes,ridge+calib+reliability+regime,,,46.4,MEDIUM,4.0,0.464,1.017
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,LHA.DE,EU,5,1.4184,weekly auto-forecast,4.0,OK,yes,ridge+calib+reliability+regime,,,47.3,MEDIUM,4.0,0.473,0.702
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,BABA,US,5,-0.8971,weekly auto-forecast,-2.1064,OK,yes,ridge+calib+reliability+regime,,,42.6,LOW,-2.1064,0.426,0.459
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,JD,US,5,0.5449,weekly auto-forecast,1.5015,OK,yes,ridge+calib+reliability+regime,,,48.4,MEDIUM,1.5015,0.484,0.674
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,NIO,US,5,0.6119,weekly auto-forecast,1.8869,OK,yes,ridge+calib+reliability+regime,,,43.2,LOW,1.8869,0.432,0.888
2026-09-13,2026-09-14,2026-09-18,StockD_V11.0,PATH,US,5,-2.197,weekly auto-forecast,-5.0,OK,yes,ridge+calib+reliability+regime,,,43.9,LOW,-5.0,0.439,0.638
