Date,WeekStart,TargetDate,ModelVersion,Ticker,Region,HorizonDays,ER_Pct,Notes,Adj_ER_Pct,EngineStatus,CalibApplied,CalibReason,LastError,RankSignal,score_0_100,confidence_tier,AdjERPct,Reliability,VolScale
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,WINE,RO,5,-0.1617,weekly auto-forecast,-0.3945,OK,yes,ridge+calib+reliability+regime,,,41.0,LOW,-0.3945,0.41,0.077
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,EL,RO,5,0.2628,weekly auto-forecast,0.5503,OK,yes,ridge+calib+reliability+regime,,,47.8,MEDIUM,0.5503,0.478,0.301
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,AG,RO,5,0.9923,weekly auto-forecast,3.013,OK,yes,ridge+calib+reliability+regime,,,43.9,LOW,3.013,0.439,1.714
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,H2O,RO,5,2.1447,weekly auto-forecast,4.5,OK,yes,ridge+calib+reliability+regime,,,47.7,MEDIUM,4.5,0.477,1.155
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,SNN,RO,5,0.829,weekly auto-forecast,1.7409,OK,yes,ridge+calib+reliability+regime,,,47.6,MEDIUM,1.7409,0.476,0.878
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,AQ,RO,5,0.7787,weekly auto-forecast,2.3853,OK,yes,ridge+calib+reliability+regime,,,43.5,LOW,2.3853,0.435,0.162
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,SNP,RO,5,1.3649,weekly auto-forecast,2.6847,OK,yes,ridge+calib+reliability+regime,,,50.8,MEDIUM,2.6847,0.508,1.581
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,TRP,RO,5,1.0639,weekly auto-forecast,3.1055,OK,yes,ridge+calib+reliability+regime,,,45.7,MEDIUM,3.1055,0.457,1.546
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,AROBS,RO,5,0.4561,weekly auto-forecast,1.4732,OK,yes,ridge+calib+reliability+regime,,,41.3,LOW,1.4732,0.413,0.665
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,FP,RO,5,1.1465,weekly auto-forecast,3.4587,OK,yes,ridge+calib+reliability+regime,,,44.2,LOW,3.4587,0.442,1.304
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,TLV,RO,5,1.6946,weekly auto-forecast,3.5615,OK,yes,ridge+calib+reliability+regime,,,47.6,MEDIUM,3.5615,0.476,0.422
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,ALR,RO,5,0.3414,weekly auto-forecast,1.0121,OK,yes,ridge+calib+reliability+regime,,,45.0,LOW,1.0121,0.45,0.148
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,GSH,RO,5,1.3328,weekly auto-forecast,4.5,OK,yes,ridge+calib+reliability+regime,,,39.5,LOW,4.5,0.395,0.328
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,HAI,RO,5,1.2259,weekly auto-forecast,3.6075,OK,yes,ridge+calib+reliability+regime,,,45.3,MEDIUM,3.6075,0.453,1.057
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,NRF,RO,5,0.2109,weekly auto-forecast,0.6722,OK,yes,ridge+calib+reliability+regime,,,41.8,LOW,0.6722,0.418,0.183
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,BATE.DE,EU,5,0.7252,weekly auto-forecast,1.6036,OK,yes,ridge+calib+reliability+regime,,,45.2,MEDIUM,1.6036,0.452,1.112
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,LHA.DE,EU,5,1.9004,weekly auto-forecast,4.0,OK,yes,ridge+calib+reliability+regime,,,47.5,MEDIUM,4.0,0.475,0.688
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,BABA,US,5,-0.1343,weekly auto-forecast,-0.2998,OK,yes,ridge+calib+reliability+regime,,,44.8,LOW,-0.2998,0.448,1.057
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,JD,US,5,0.2519,weekly auto-forecast,0.5236,OK,yes,ridge+calib+reliability+regime,,,48.1,MEDIUM,0.5236,0.481,0.94
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,NIO,US,5,-2.0315,weekly auto-forecast,-5.0,OK,yes,ridge+calib+reliability+regime,,,40.6,LOW,-5.0,0.406,0.621
2026-05-10,2026-05-11,2026-05-15,StockD_V11.0,PATH,US,5,1.3786,weekly auto-forecast,4.6103,OK,yes,ridge+calib+reliability+regime,,,39.9,LOW,4.6103,0.399,0.965
