Date,WeekStart,TargetDate,ModelVersion,Ticker,Region,HorizonDays,ER_Pct,Notes,Adj_ER_Pct,EngineStatus,CalibApplied,CalibReason,LastError,RankSignal,score_0_100,confidence_tier,AdjERPct,Reliability,VolScale
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,WINE,RO,5,0.5561,weekly auto-forecast,1.534,OK,yes,ridge+calib+reliability+regime,,,42.6,LOW,1.534,0.426,1.59
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,EL,RO,5,0.2942,weekly auto-forecast,0.9262,OK,yes,ridge+calib+reliability+regime,,,49.8,MEDIUM,0.9262,0.498,0.262
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,AG,RO,5,-0.0273,weekly auto-forecast,-0.0723,OK,yes,ridge+calib+reliability+regime,,,44.5,LOW,-0.0723,0.445,0.284
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,H2O,RO,5,1.7905,weekly auto-forecast,4.5,OK,yes,ridge+calib+reliability+regime,,,46.8,MEDIUM,4.5,0.468,3.128
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,SNN,RO,5,0.728,weekly auto-forecast,2.3922,OK,yes,ridge+calib+reliability+regime,,,47.7,MEDIUM,2.3922,0.477,0.315
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,AQ,RO,5,1.299,weekly auto-forecast,4.5,OK,yes,ridge+calib+reliability+regime,,,45.3,MEDIUM,4.5,0.453,6.57
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,SNP,RO,5,0.1818,weekly auto-forecast,0.5647,OK,yes,ridge+calib+reliability+regime,,,50.5,MEDIUM,0.5647,0.505,0.047
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,TRP,RO,5,0.3763,weekly auto-forecast,1.2678,OK,yes,ridge+calib+reliability+regime,,,46.6,MEDIUM,1.2678,0.466,0.393
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,AROBS,RO,5,0.0218,weekly auto-forecast,0.083,OK,yes,ridge+calib+reliability+regime,,,41.1,LOW,0.083,0.411,0.049
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,FP,RO,5,1.1327,weekly auto-forecast,3.9721,OK,yes,ridge+calib+reliability+regime,,,44.7,LOW,3.9721,0.447,0.445
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,TLV,RO,5,0.8046,weekly auto-forecast,1.9903,OK,yes,ridge+calib+reliability+regime,,,47.6,MEDIUM,1.9903,0.476,0.35
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,ALR,RO,5,0.6842,weekly auto-forecast,2.4565,OK,yes,ridge+calib+reliability+regime,,,43.7,LOW,2.4565,0.437,2.423
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,GSH,RO,5,0.903,weekly auto-forecast,3.1818,OK,yes,ridge+calib+reliability+regime,,,44.5,LOW,3.1818,0.445,0.282
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,HAI,RO,5,0.5377,weekly auto-forecast,1.9332,OK,yes,ridge+calib+reliability+regime,,,43.6,LOW,1.9332,0.436,0.986
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,NRF,RO,5,0.3076,weekly auto-forecast,1.1109,OK,yes,ridge+calib+reliability+regime,,,43.4,LOW,1.1109,0.434,0.413
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,BATE.DE,EU,5,-0.0898,weekly auto-forecast,-0.2565,OK,yes,ridge+calib+reliability+regime,,,41.2,LOW,-0.2565,0.412,1.0
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,LHA.DE,EU,5,1.1592,weekly auto-forecast,4.0,OK,yes,ridge+calib+reliability+regime,,,45.5,MEDIUM,4.0,0.455,1.0
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,BABA,US,5,-0.6081,weekly auto-forecast,-1.5774,OK,yes,ridge+calib+reliability+regime,,,45.4,MEDIUM,-1.5774,0.454,1.0
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,JD,US,5,0.8765,weekly auto-forecast,2.2152,OK,yes,ridge+calib+reliability+regime,,,46.5,MEDIUM,2.2152,0.465,1.0
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,NIO,US,5,-1.7081,weekly auto-forecast,-5.0,OK,yes,ridge+calib+reliability+regime,,,40.2,LOW,-5.0,0.402,1.0
2026-04-05,2026-04-06,2026-04-10,StockD_V11.0,PATH,US,5,0.9995,weekly auto-forecast,4.1119,OK,yes,ridge+calib+reliability+regime,,,38.1,LOW,4.1119,0.381,1.0
