Date,WeekStart,TargetDate,ModelVersion,Ticker,Region,HorizonDays,ER_Pct,Notes,Adj_ER_Pct,EngineStatus,CalibApplied,CalibReason,LastError,RankSignal,score_0_100,confidence_tier,AdjERPct,Reliability,VolScale
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,WINE,RO,5,0.6046,weekly auto-forecast,1.4372,OK,yes,ridge+calib+reliability+regime,,,42.1,LOW,1.4372,0.421,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,EL,RO,5,0.7763,weekly auto-forecast,2.0962,OK,yes,ridge+calib+reliability+regime,,,49.4,MEDIUM,2.0962,0.494,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,AG,RO,5,0.3433,weekly auto-forecast,1.0305,OK,yes,ridge+calib+reliability+regime,,,44.4,LOW,1.0305,0.444,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,H2O,RO,5,1.6986,weekly auto-forecast,3.631,OK,yes,ridge+calib+reliability+regime,,,46.8,MEDIUM,3.631,0.468,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,SNN,RO,5,0.8531,weekly auto-forecast,2.4083,OK,yes,ridge+calib+reliability+regime,,,47.2,MEDIUM,2.4083,0.472,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,AQ,RO,5,0.8567,weekly auto-forecast,2.5243,OK,yes,ridge+calib+reliability+regime,,,45.2,MEDIUM,2.5243,0.453,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,SNP,RO,5,0.454,weekly auto-forecast,1.2115,OK,yes,ridge+calib+reliability+regime,,,50.0,MEDIUM,1.2115,0.5,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,TRP,RO,5,0.5641,weekly auto-forecast,1.6054,OK,yes,ridge+calib+reliability+regime,,,46.9,MEDIUM,1.6054,0.469,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,AROBS,RO,5,0.2512,weekly auto-forecast,0.8049,OK,yes,ridge+calib+reliability+regime,,,41.6,LOW,0.8049,0.416,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,FP,RO,5,0.8658,weekly auto-forecast,2.5902,OK,yes,ridge+calib+reliability+regime,,,44.6,LOW,2.5902,0.446,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,TLV,RO,5,1.2834,weekly auto-forecast,2.6951,OK,yes,ridge+calib+reliability+regime,,,47.6,MEDIUM,2.6951,0.476,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,ALR,RO,5,0.3,weekly auto-forecast,0.9407,OK,yes,ridge+calib+reliability+regime,,,42.5,LOW,0.9407,0.425,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,GSH,RO,5,1.3662,weekly auto-forecast,4.0679,OK,yes,ridge+calib+reliability+regime,,,44.8,LOW,4.0679,0.448,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,HAI,RO,5,0.7745,weekly auto-forecast,2.3728,OK,yes,ridge+calib+reliability+regime,,,43.5,LOW,2.3728,0.435,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,NRF,RO,5,0.4366,weekly auto-forecast,1.357,OK,yes,ridge+calib+reliability+regime,,,42.9,LOW,1.357,0.429,1.0
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,BATE.DE,EU,5,1.672,weekly auto-forecast,4.0,OK,yes,ridge+calib+reliability+regime,,,41.8,LOW,4.0,0.418,1.03
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,LHA.DE,EU,5,-0.097,weekly auto-forecast,-0.2081,OK,yes,ridge+calib+reliability+regime,,,46.6,MEDIUM,-0.2081,0.466,0.786
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,BABA,US,5,0.5193,weekly auto-forecast,1.5441,OK,yes,ridge+calib+reliability+regime,,,44.8,LOW,1.5441,0.448,0.777
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,JD,US,5,2.387,weekly auto-forecast,5.0,OK,yes,ridge+calib+reliability+regime,,,47.7,MEDIUM,5.0,0.477,1.059
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,NIO,US,5,1.5402,weekly auto-forecast,3.7556,OK,yes,ridge+calib+reliability+regime,,,41.0,LOW,3.7556,0.41,1.375
2026-04-12,2026-04-13,2026-04-17,StockD_V11.0,PATH,US,5,1.4183,weekly auto-forecast,5.0,OK,yes,ridge+calib+reliability+regime,,,37.8,LOW,5.0,0.378,1.246
